IdDate,IdVente,IdBoutique,IdProduit,IdPromotion,Montant du retour,Quantité de retour,Montant des ventes,Quantité de vente,Coût total,Coût unitaire,Prix unitaire,Montant de la remise,Quantité de remise
7/1/2020 0:00,12391,305,414,1,$0 ,0,"$7,580 ",10,"$3,485.80 ",$348.58 ,$758 ,$0 ,0
7/1/2020 0:00,75252,215,252,1,$0 ,0,"$3,600 ",10,"$1,835.40 ",$183.54 ,$360 ,$0 ,0
7/1/2020 0:00,103963,208,802,1,$0 ,0,$155 ,10,$79 ,$7.90 ,$15.50 ,$0 ,0
7/1/2020 0:00,162309,242,413,1,$0 ,0,"$5,990 ",10,"$2,754.60 ",$275.46 ,$599 ,$0 ,0
7/1/2020 0:00,162388,201,46,1,$0 ,0,"$1,499.50 ",10,$764.50 ,$76.45 ,$149.95 ,$0 ,0
7/1/2020 0:00,168319,210,326,1,$0 ,0,"$2,990 ",10,"$1,524.40 ",$152.44 ,$299 ,$0 ,0
7/1/2020 0:00,174258,209,1363,1,$0 ,0,$229.90 ,10,$105.70 ,$10.57 ,$22.99 ,$0 ,0
7/1/2020 0:00,234810,241,390,1,"$1,299 ",1,"$12,990 ",10,"$3,873.42 ",$430.38 ,"$1,299 ",$0 ,0
7/1/2020 0:00,247289,219,715,1,$149 ,1,"$1,490 ",10,$616.68 ,$68.52 ,$149 ,$0 ,0
7/1/2020 0:00,251993,245,1599,1,$0 ,0,$578.80 ,10,$266.20 ,$26.62 ,$57.88 ,$0 ,0
7/1/2020 0:00,288853,232,408,1,$0 ,0,"$7,580 ",10,"$3,485.80 ",$348.58 ,$758 ,$0 ,0
7/1/2020 0:00,288954,238,552,1,$0 ,0,"$24,990 ",10,"$8,279.70 ",$827.97 ,"$2,499 ",$0 ,0
7/1/2020 0:00,342607,220,382,1,$0 ,0,"$3,829.50 ",10,"$1,952.40 ",$195.24 ,$382.95 ,$0 ,0
