IdDate,IdVente,IdBoutique,IdProduit,IdPromotion,Montant du retour,Quantité de retour,Montant des ventes,Quantité de vente,Coût total,Coût unitaire,Prix unitaire,Montant de la remise,Quantité de remise
1/1/2020 0:00,32306,248,910,10,$0 ,0,$754.80 ,8,$416 ,$52 ,$102 ,$61.20 ,3
1/1/2020 0:00,39789,212,514,10,$0 ,0,"$1,062.60 ",16,$365.76 ,$22.86 ,$69 ,$41.40 ,3
1/1/2020 0:00,89504,206,266,10,$0 ,0,"$2,392 ",8,"$1,219.52 ",$152.44 ,$299 ,$0 ,0
1/1/2020 0:00,123539,219,266,10,$0 ,0,"$2,212.60 ",8,"$1,219.52 ",$152.44 ,$299 ,$179.40 ,3
1/1/2020 0:00,134095,202,768,10,$0 ,0,$128.88 ,8,$73.04 ,$9.13 ,$17.90 ,$14.32 ,4
1/1/2020 0:00,167605,156,384,11,$0 ,0,"$6,822 ",9,"$3,137.22 ",$348.58 ,$758 ,$0 ,0
1/1/2020 0:00,196030,239,35,10,$0 ,0,$710.03 ,8,$391.36 ,$48.92 ,$95.95 ,$57.57 ,3
1/1/2020 0:00,264199,205,828,10,$0 ,0,$186.42 ,8,$87.92 ,$10.99 ,$23.90 ,$4.78 ,1
1/1/2020 0:00,271802,303,1612,10,$0 ,0,"$1,295.93 ",8,$662.16 ,$82.77 ,$179.99 ,$143.99 ,4
1/1/2020 0:00,281715,246,819,10,$0 ,0,$227.24 ,8,$121.92 ,$15.24 ,$29.90 ,$11.96 ,2
1/1/2020 0:00,323151,221,391,10,$0 ,0,"$5,592 ",8,"$2,571.52 ",$321.44 ,$699 ,$0 ,0
1/1/2020 0:00,338068,204,374,10,$0 ,0,"$9,872.40 ",8,"$3,443.04 ",$430.38 ,"$1,299 ",$519.60 ,2
1/1/2020 0:00,374314,242,1351,10,$0 ,0,$132.52 ,8,$69.28 ,$8.66 ,$16.99 ,$3.40 ,1
1/1/2020 0:00,405707,203,193,10,$0 ,0,"$5,032.80 ",8,"$2,571.52 ",$321.44 ,$699 ,$559.20 ,4
1/1/2020 0:00,421928,213,132,10,$0 ,0,"$1,480 ",8,$815.76 ,$101.97 ,$200 ,$120 ,3
1/1/2020 0:00,451287,236,695,10,$0 ,0,"$1,271.40 ",8,$599.68 ,$74.96 ,$163 ,$32.60 ,1
1/1/2020 0:00,487335,236,1455,10,$0 ,0,"$2,262 ",8,"$1,066.88 ",$133.36 ,$290 ,$58 ,1
1/1/2020 0:00,578014,204,864,10,$0 ,0,$387.52 ,8,$187.60 ,$23.45 ,$50.99 ,$20.40 ,2
1/1/2020 0:00,674666,232,758,10,$0 ,0,$217.62 ,8,$102.64 ,$12.83 ,$27.90 ,$5.58 ,1
1/1/2020 0:00,681122,235,4,10,$0 ,0,$155.30 ,8,$88 ,$11 ,$21.57 ,$17.26 ,4
1/1/2020 0:00,699708,211,191,10,$0 ,0,$514.80 ,8,$269.20 ,$33.65 ,$66 ,$13.20 ,1
1/1/2020 0:00,729736,250,693,10,$0 ,0,"$1,694.60 ",8,$606.96 ,$75.87 ,$229 ,$137.40 ,3
1/1/2020 0:00,748908,246,392,10,$0 ,0,"$2,833.83 ",8,"$1,561.92 ",$195.24 ,$382.95 ,$229.77 ,3
1/1/2020 0:00,762688,297,119,10,$0 ,0,"$1,559.87 ",13,$795.21 ,$61.17 ,$119.99 ,$0 ,0
1/1/2020 0:00,778870,224,126,10,$0 ,0,"$1,089.84 ",8,$584.88 ,$73.11 ,$143.40 ,$57.36 ,2
1/1/2020 0:00,838557,220,819,10,$0 ,0,$233.22 ,8,$121.92 ,$15.24 ,$29.90 ,$5.98 ,1
